id,organisation,dataset_or_publication,relevant_measure,reference_period,publication_date,expected_update_frequency,direct_source_location,definitional_limitations
SRC-001,Australian Bureau of Statistics,"National, state and territory population","Estimated resident population; natural increase; net overseas migration contribution",Latest quarterly release,Latest release,Quarterly,https://www.abs.gov.au/statistics/people/population/national-state-and-territory-population/latest-release,"ERP is revised over time; reference date must be captured."
SRC-002,Australian Bureau of Statistics,Overseas Migration,"NOM; arrivals; departures; visa/country/age/sex where available",Latest annual release,Latest release,Annual plus quarterly components,https://www.abs.gov.au/statistics/people/population/overseas-migration/latest-release,"NOM residence concept differs from visa grants and stocks."
SRC-003,Department of Home Affairs,Visa and migration statistics,"Permanent; temporary; skilled; family; humanitarian; student visa categories",Latest administrative period,Varies,Monthly/quarterly/annual,https://www.homeaffairs.gov.au/research-and-statistics/statistics/visa-statistics,"Administrative visa measures do not directly equal NOM."
SRC-004,Australian Bureau of Statistics,"Labour Force, Australia","Employment; unemployment; participation; employment-to-population",Latest monthly release,Latest release,Monthly,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release,"Seasonally adjusted/trend/original series must not be mixed."
SRC-005,Australian Bureau of Statistics,"Australian National Accounts: National Income, Expenditure and Product","GDP growth; GDP per capita; national income; productivity-related aggregates",Latest quarterly release,Latest release,Quarterly,https://www.abs.gov.au/statistics/economy/national-accounts/australian-national-accounts-national-income-expenditure-and-product/latest-release,"Chain-volume and current-price measures require separate handling."
SRC-006,Australian Bureau of Statistics,"Consumer Price Index, Australia",CPI/inflation,Latest monthly/quarterly release,Latest release,Monthly/quarterly,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/latest-release,"Monthly indicator is not the full quarterly CPI basket."
SRC-007,Australian Bureau of Statistics,"Building Activity, Australia","Dwelling commencements; completions; under construction",Latest quarterly release,Latest release,Quarterly,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,"Completions, commencements and approvals are not interchangeable."
SRC-008,National Housing Supply and Affordability Council,"State of the Housing System / supply forecasts","Housing supply; demand; affordability constraints",Latest annual report,Latest report,Annual,https://nhsac.gov.au/,"Forecast assumptions must be separated from observed ABS data."
SRC-009,Reserve Bank of Australia,"Cash Rate Target / Statement on Monetary Policy","Interest rates and macro outlook context",Latest release,Latest release,Meeting cycle/quarterly,https://www.rba.gov.au/statistics/cash-rate/,"Interest rates are not currently modelled directly but materially affect housing."
SRC-010,Australian Treasury,"Budget papers / Intergenerational Report / forecasts","GDP; population; migration; fiscal outlook; ageing",Latest Budget/IGR,Latest publication,Annual/periodic,https://budget.gov.au/,"Forecasts are government assumptions, not observed baseline facts."
SRC-011,Department of Finance,"Commonwealth monthly/annual financial statements","Commonwealth revenue; expenditure; balance; debt",Latest period,Latest publication,Monthly/annual,https://www.finance.gov.au/government/commonwealth-budget,"Commonwealth only; state/local finances require separate sources."
SRC-012,Parliamentary Budget Office,"Fiscal sustainability and policy costing reports","Budget sensitivities; costing methods; fiscal assumptions",Latest report,Latest report,Periodic,https://www.pbo.gov.au/,"Useful for relationships and methods, not every baseline value."
SRC-013,Australian Institute of Health and Welfare,"Health expenditure / health workforce / aged care reporting","Health demand; expenditure; service capacity",Latest report,Latest report,Annual/periodic,https://www.aihw.gov.au/,"Health data definitions differ by service and government level."
SRC-014,Productivity Commission,"Productivity and migration-related research","Productivity; skills; migration; infrastructure relationships",Latest relevant inquiry/report,Latest report,Periodic,https://www.pc.gov.au/,"Best used for relationships/ranges rather than single observed values."
SRC-015,Infrastructure Australia,"Infrastructure Audit / Market Capacity","Infrastructure demand; costs; market capacity; project pipeline",Latest report,Latest report,Periodic,https://www.infrastructureaustralia.gov.au/,"Costs vary by geography and asset class; avoid a single unsupported coefficient."
SRC-016,Department of Climate Change, Energy, the Environment and Water,"National Greenhouse Gas Inventory",Emissions and sector contributions,Latest quarterly inventory,Latest publication,Quarterly,https://www.dcceew.gov.au/climate-change/publications,"Population attribution requires transformation and uncertainty."
SRC-017,Australian Energy Market Operator,"Electricity and gas statements/data","Energy generation; demand; reliability; transition assumptions",Latest report/data,Latest publication,Frequent/annual,https://aemo.com.au/,"Energy data must be mapped carefully to environmental/resource outcomes."
